Country,Year,Beginning Stocks,Crush,Domestic Consumption,Ending Stocks,Exports,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Imports,Industrial Dom. Cons.,Production,Total Distribution,Total Supply
Algeria,1964,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,16.0
Algeria,1965,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,15.0,15.0
Algeria,1966,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0
Algeria,1967,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,31.0,31.0
Algeria,1968,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,39.0,39.0
Algeria,1969,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0
Algeria,1970,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,33.0,33.0
Algeria,1971,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,33.0,33.0
Algeria,1972,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,16.0
Algeria,1973,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,39.0,39.0
Algeria,1974,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,21.0,21.0
Algeria,1975,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0
Algeria,1976,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,27.0,27.0
Algeria,1977,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,55.0,55.0
Algeria,1978,0.0,0.0,47.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,47.0,47.0
Algeria,1979,0.0,0.0,94.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,94.0,94.0
